SKN,Island,albedo,coastDist,dem_250,lai,rf,tpi,windSpeed,LON,LAT,optional
267.11,MA,NA,NA,882.7899780273438,NA,NA,NA,NA,-156.3554,20.7067,NA
267.8,MA,14.1008329391479,11281.671875,1996.85327148438,0.66634738445282,928.495483398438,-11.4302978515625,1.07513582706451,-156.3216667,20.68305556,True
276.0,MA,10.6704168319702,8706.0712890625,1662.84997558594,0.941156923770905,10271.421875,87.4872970581055,2.90428256988525,-156.09225,20.72655556,True
277.0,MA,10.4320831298828,9914.6787109375,1892.53015136719,0.936442792415619,8327.7900390625,58.6954231262207,2.47560739517212,-156.1071389,20.73630556,True
278.0,MA,10.4320831298828,10527.859375,2096.20556640625,0.299271762371063,5612.56298828125,38.35302734375,2.01546239852905,-156.1228889,20.73422222,True
278.12,MA,10.935417175293,9783.0908203125,2021.40539550781,0.183920115232468,4560.50830078125,25.4243679046631,2.2066376209259,-156.1424321,20.74567736,True
278.3,MA,10.4320831298828,10256.2841796875,2098.49462890625,0.258096545934677,6150.935546875,72.2642822265625,2.34170126914978,-156.1214124,20.73575551,True
278.5,MA,10.4320831298828,10292.115234375,2217.71508789062,0.198400437831879,4345.39697265625,3.4608256816864,2.22309064865112,-156.1365744,20.73857613,True
278.6,MA,10.4320831298828,10051.1328125,2135.212890625,0.187491029500961,4639.1005859375,0.621368408203125,1.96907413005829,-156.1350318,20.74071537,True
278.7,MA,10.4320831298828,9751.642578125,2041.51770019531,0.209952816367149,5199.78564453125,12.8895263671875,2.02265858650208,-156.1342138,20.74195056,True
278.9,MA,10.935417175293,9783.0908203125,2021.40539550781,0.183920115232468,4560.50830078125,25.4243679046631,2.2066376209259,-156.1421289,20.74489428,True
279.0,MA,12.5218334197998,11037.4755859375,2425.8427734375,0.146253570914268,3108.939453125,103.453033447266,3.23991346359253,-156.1413056,20.73061111,True
283.0,MA,NA,NA,126.99500274658205,NA,NA,NA,NA,-156.002356,20.719497,NA
302.0,MA,NA,NA,3.631379365921021,NA,NA,NA,NA,-156.514,20.7903,NA
311.2,MA,11.2469997406006,1023.59442138672,0.765388250350952,0.442578583955765,289.369201660156,-0.601617455482483,3.71163487434387,-156.4772222,20.7975,True
324.6,MA,12.9787502288818,14163.83203125,954.275451660156,0.768027782440186,632.122436523438,7.31529474258423,1.47894823551178,-156.3200278,20.75788889,True
324.7,MA,12.9787502288818,14163.83203125,954.275451660156,0.768027782440186,632.122436523438,7.31529474258423,1.47894823551178,-156.3217,20.7577991,True
328.4,MA,15.1754169464111,16743.76953125,1621.49865722656,0.685161173343658,885.531127929688,6.96890783309937,2.70881462097168,-156.2775,20.75763889,True
329.0,MA,NA,NA,1175.2083740234375,NA,NA,NA,NA,-156.2805211,20.80179746,NA
337.0,MA,3.85458326339722,9783.8603515625,2906.14111328125,0.0689829960465431,1081.83435058594,66.3506698608398,4.01292371749878,-156.241101,20.703948,True
337.1,MA,3.85458326339722,10897.24609375,2659.50463867188,0.130358591675758,1066.79357910156,14.8901567459106,2.70047950744629,-156.2394,20.714563,True
337.2,MA,3.85458326339722,9707.6923828125,2444.79858398438,0.0761725232005119,1129.84948730469,2.84625244140625,2.30527210235596,-156.224485,20.709651,True
